Relation Type Name
above
adjacent to
aligned with
around
attached to
behind
below
beside
between
built in
connected to
contained by
contains
covered by
covering
facing
far from
fixed to
hanging on
has part
in
in front of
inside
inside of
intersecting
left of
leaning against
mounted on
near
next to
on
on top of
overlapping
part of
perpendicular to
resting on
right of
stacked on
standing on
supporting
supported by
surrounding
touching
under
